Category,Keyword,Frequency,Context
Food,drink,12,"Recently he was drinking two liters of sugar packed fizzy drink every day.
Kids are given money and they go to the canteen and the only thing want is a very cheap soft drink, pie and chips because that's what they like eating…"
Food,junk food,9,...people can afford it so we see a lot of these people going out to the market or buying food junk food takeaways
Food,nutrition,8,"He says many of the imported products lack nutritional value. But they are widely available, he says, and often cost less than healthier foods."
Food,taro,7,"Traditionally young men did most of the cooking. The diet was heavy in starch, taro and bread fruit."
Food,chicken,6,"The boys don't like cooking and they love fatty foods like McDonalds. They say, ""Oh mum please can we have fried chicken or McDonalds?"""
Food,coconut,6,"The Pacific Islands...lush...idyllic, populated by strong seafaring people living off fresh fruit, fish, taro, and coconuts."
Food,lunch,5,"Yesterday at lunch we had concentrated juice which has got a lot of sugar in it it was half water and with it.
Cena's family bring her a plate of chips and mutton flaps for lunch."
Food,water,5,"""We sat there and thought, 'Wow, I would love to drink soda and we're poor because we're drinking water.'"""
Food,calorie,5,One plate contains more than half of my recommended daily calories regular family gatherings accompanied by big meals are an important part of Samoan life
Food,agriculture,5,Luxury resorts now stand on land formerly used for agriculture and many Islanders now work in the tourist sector which accounts for over 90% of the islands economy
Food,cooking,4,We're getting young men to be in the kitchen cooking traditionally in our culture you'd be like it's the girls job but we try to bring that out in the program to say that it's it's a partnership
Food,restaurant,4,Restaurants around town are open 24/7 filling greasy cutlets with little nutritional value bigger size
Food,consumption,4,"...the Ministry of Health has developed a get physical campaign which asks Islanders to spend at least 10 minutes a day doing a physical activity 5 days a week it also encourages the consumption of 5 fruits or vegetables a day and the government has also raised import duties on sugary drinks...
""Mutton flaps are the discarded parts of the lamb that are not fit for consumption in New Zealand..."""
Food,veggie,4,"Local food is often seen as inferior to imported food taffetas got his work cut out if he wants to see his kids follow his new diet and eat veggies
""I would literally cry if I look at veggies …"""
Food,feasting,3,"There is also a tradition of feasting, which to an outsider almost resembles competitive eating.
Ministers are authority figures in this deeply religious society and according to Palu, 85% of them are obese, thanks partly to the regular feasts they take part in."
Food,salt,3,"…Your budget will be less you won't spend too much money buying this imported stuff can process with a lot of high salt and we don't need that everywhere you go in Samoa…"""
Food,beef,3,Entire aisle of another favorite Samoan food so this corned beef has over 20% fat which is over double what you would find in the same product in the UK.
Food,feast,3,
Food,dinner,3,
Food,cocoa,3,
Food,fructose,7,
Food,crop,7,
Food,meal,6,
Food,cook,6,
Food,butt,5,
Food,chip,4,
Food,process,4,
Health,failure,5,
Health,cancer,5,
Health,sepsis,5,
Health,kg,5,
Health,toe,3,
Health,limb,3,
Health,jaws,3,
Health,impairment,3,
Health,nurse,3,
Health,amputation,3,
Health,gland,3,
Health,finger,3,
Health,diabetes,61,
Health,health,58,
Health,obesity,49,
Health,disease,35,
Health,weight,23,
Health,doctor,20,
Health,fat,15,
Health,hospital,14,
Health,blood,13,
Health,dialysis,13,
Health,foot,12,
Health,diabete,11,
Health,crisis,10,
Health,body,9,
Health,heart,9,
Health,death,7,
Health,infection,7,
Health,kidney,6,
Health,pound,6,
Health,complication,5,
Health,medicine,5,
Health,expectancy,5,
Health,gynecologist,1,
Health,intrauterine,1,
Health,system,8,
Lifestyle,sleep,3,
Lifestyle,farming,3,
Lifestyle,zumba,3,
Lifestyle,fitness,3,
Lifestyle,fisherman,3,
Lifestyle,eating,3,
Lifestyle,lifestyle,21,
Lifestyle,community,14,
People,mom,3,
People,daughter,3,
People,mama,3,Our mama had her small toe amputated.
People,people,92,
People,population,18,
People,child,12,
People,farmer,11,
People,woman,11,
People,american,10,
People,minister,10,
People,kid,8,
People,samoans,8,
People,man,8,
People,americans,8,
People,tongans,7,
People,mother,7,
People,generation,7,
People,samoan,6,
People,girl,6,
People,husband,5,
People,worker,4,
People,baby,15,"""I guess with my experience I would love to make sure my my baby knows not to go through what I might do at a very young age…""
How does the blood sugar affect the baby well it affects both the mom and the baby for the baby one the worst scenario you can have you can lose the pregnancy..."
Policy,ban,5,Tonga is now looking to ban or tax poor quality imported foods legislation may not teach restraint but keeping fatty foods off the menu is a step towards slimming down
Policy,policy,3,Fonua is a political commentator who runs a local online news service and has worked on anti-corruption initiatives with transparency international he says Tonga's escalating debt could lead to a decline in government services an exodus of school people and a withdrawal of International farmers
Policy,wto,7,Under the WTO prohibitions and bans are not looked upon favourably so we have removed the discriminatory measure of banning imports but we've replaced it with a measure that's less trade restrictive.
Policy,government,22,the government has also raised import duties on sugary drinks particularly in a bid to improve the health of the nation's youth
Policy,ministry,10,According to the Ministry of Health a staggering 88% of all men surveyed in 2012 were obese and 75% of adult deaths are due to nutrition and lifestyle related disease…
Policy,import,9,"Now Samoa is dependent on imported food. Tin meats, noodles, sweets and soft drinks.
Nowadays they can afford to buy fatty foods from the shops. They prefer the imported foods."
Policy,program,7,Officials hope nutrition education and exercise programs will help change Nauruan lifestyles.
,,,
,island,55,
,lot,54,
,pacific,50,
,samoa,45,
,country,45,
,world,40,
,problem,38,
,year,37,
,time,35,
,life,30,
,thing,30,
,way,26,
,family,25,
,patient,23,
,percent,22,
,mexico,20,
,day,19,
,part,18,
,tonga,17,
,money,17,
,zealand,16,
,new,16,
,china,15,
,islander,15,
,rate,14,
,trade,13,
,type,13,
,place,12,
,dr,12,
,market,11,
,islands,11,
,idea,10,
,earth,10,
,issue,10,
,one,10,
,company,10,
,exercise,10,
,number,9,
,sector,9,
,nation,9,
,week,9,
,america,9,
,work,8,
,u.s,8,
,today,8,
,business,8,
,epidemic,8,
,deal,8,
,revolution,8,
,kind,8,
,remittance,8,
,house,7,
,choice,7,
,dollar,7,
,loss,7,
,lori,7,
,united,7,
,development,7,
,land,7,
,adult,7,
,hand,7,
,level,7,
,budget,7,
,challenge,7,
,capital,7,
,half,7,
,home,7,
,change,7,
,product,7,
,unit,6,
,risk,6,
,result,6,
,states,6,
,south,6,
,tana,6,
,tongan,6,
,point,6,
,cause,6,
,class,6,
,organization,6,
,leg,6,
,reason,6,
,side,6,
,boat,6,
,narrator,6,
,resource,6,
,care,6,
,town,5,
,danger,5,
,quality,5,
,activity,5,
,waqanivalu,5,
,course,5,
,increase,5,
,stuff,5,
,mile,5,
,sunday,5,
,un,5,
,tabata,5,
,term,5,
,minute,5,
,order,5,
,thomas,5,
,economy,5,
,third,5,
,service,5,
,cost,5,
,need,5,
,job,4,
,middle,4,
,ward,4,
,shipping,4,
,price,4,
,nauru,4,
,profit,4,
,ncd,4,
,research,4,
,amount,4,
,official,4,
,disaster,4,
,campaign,4,
,debt,4,
,distance,4,
,respect,4,
,ilsi,4,
,morning,4,
,plantation,4,
,size,4,
,value,4,
,tomman,4,
,boy,4,
,factor,4,
,ed,4,
,track,4,
,record,4,
,john,4,
,india,4,
,mission,4,
,rest,4,
,paradise,4,
,end,4,
,member,4,
,surgery,4,
,bottle,4,
,study,4,
,taffeta,4,
,experience,4,
,pressure,4,
,tv,4,
,table,4,
,tissue,4,
,wound,4,
,situation,4,
,produce,4,
,show,4,
,east,4,
,lack,3,
,nola,3,
,jet,3,
,tourist,3,
,son,3,
,target,3,
,production,3,
,ice,3,
,bit,3,
,option,3,
,sheep,3,
,figure,3,
,photo,3,
,gaza,3,
,farm,3,
,aid,3,
,stanley,3,
,road,3,
,tama,3,
,centre,3,
,hawaii,3,
,chain,3,
,territory,3,
,sea,3,
,center,3,
,state,3,
,wave,3,
,catch,3,
,message,3,
,rise,3,
,decade,3,
,soakai,3,
,burden,3,
,component,3,
,africa,3,
,kilogram,3,
,us,3,
,decision,3,
,car,3,
,test,3,
,stone,3,
,mate,3,
,plan,3,
,bank,3,
,head,3,
,loan,3,
,fizzy,3,
,fiji,3,
,effort,3,
,annie,3,
,consequence,3,
,alternative,3,
,example,3,
,prime,3,
,rib,3,
,flight,3,
,room,3,
,case,3,
,can,3,
,line,3,
,event,3,
,wife,3,
,sign,3,
,energy,3,
,thank,3,
,age,3,
,nut,3,
,bed,3,
,percentage,3,
,attention,3,
,cena,3,
,garden,3,
,leader,3,
,store,3,
,supply,3,
,stage,3,
,saturday,3,
,war,3,
,poverty,3,
,solution,3,
,face,3,
,measure,3,
,hour,3,
,control,3,
,hotel,3,
,bird,3,
,soup,3,
,lolly,3,
,expert,3,
,trump,3,
,ocean,3,
,cut,2,
,medium,2,
,step,2,
,fao,2,
,sarah,2,
,jazeera,2,
,nutritionist,2,
,model,2,
,highland,2,
,iv,2,
,industry,2,
,al,2,
,vaea,2,
,dependence,2,
,scheme,2,
,concern,2,
,port,2,
,city,2,
,tamaki,2,
,technician,2,
,australia,2,
,king,2,
,pair,2,
,samoas,2,
,wire,2,
,play,2,
,list,2,
,employment,2,
,share,2,
,habit,2,
,green,2,
,jackie,2,
,wage,2,
,disability,2,
,season,2,
,menu,2,
,prevention,2,
,palu,2,
,office,2,
,seedling,2,
,havea,2,
,ability,2,
,opportunity,2,
,ha,2,
,partner,2,
,use,2,
,initiative,2,
,cry,2,
,decline,2,
,dish,2,
,dating,2,
,benefit,2,
,experiment,2,
,site,2,
,bootcamp,2,
,combination,2,
,fee,2,
,lb,2,
,report,2,
,scientist,2,
,smuggler,2,
,night,2,
,prop,2,
,loser,2,
,potential,2,
,corner,2,
,oven,2,
,mind,2,
,theory,2,
,news,2,
,clip,2,
,tlc,2,
,plate,2,
,activist,2,
,neighbor,2,
,facility,2,
,le,2,
,dude,2,
,bmi,2,
,customer,2,
,yo,2,
,park,2,
,dad,2,
,collapse,2,
,tin,2,
,duty,2,
,folk,2,
,battle,2,
,guess,2,
,takeaway,2,
,shit,2,
,project,2,
,fishing,2,
,ground,2,
,stroke,2,
,tom,2,
,expense,2,
,celilo,2,
,access,2,
,department,2,
,movie,2,
,mormon,2,
,eye,2,
,hope,2,
,advice,2,
,father,2,
,vanuatu,2,
,restriction,2,
,cream,2,
,foliaki,2,
,purpose,2,
,sort,2,
,chair,2,
,canada,2,
,mouth,2,
,republic,2,
,packet,2,
,national,2,
,thousand,2,
,poultry,2,
,contact,2,
,story,2,
,paul,2,
,cookie,2,
,dentistry,2,
,treatment,2,
,parade,2,
,lee,2,
,martin,2,
,fund,2,
,nuku,2,
,fight,2,
,comparison,2,
,ambrose,2,
,ass,2,
,goal,2,
,assistant,2,
,fry,2,
,datum,2,
,candy,2,
,sense,2,
,denial,2,
,starch,2,
,bread,2,
,rugby,2,
,peter,2,
,yesterday,2,
,tree,2,
,feather,2,
,c,2,
,chinchilla,2,
,top,2,
,banana,2,
,safety,2,
,sweet,2,
,label,2,
,mcdonalds,2,
,picture,2,
,mortician,2,
,coffin,2,
,poster,2,
,link,2,
,pregnancy,2,
,outcry,2,
,beginning,2,
,membership,2,
,operation,2,
,majority,2,
,photograph,2,
,staff,2,
,ta'apega,2,
,diabetic,2,
,slab,2,
,tumama,2,
,medication,2,
,hospitalisation,2,
,gang,2,
,temu,2,
,partnership,2,
,beauty,2,
,machine,2,
,while,2,
,kitchen,2,
,impact,2,
,ending,2,
,contestant,2,
,influence,2,
,willy,2,
,supermarket,2,
,growth,2,
,shelf,2,
,wonka,2,
,flow,2,
,ollie,2,
,appointment,2,
,reality,2,
,nixon,2,
,breast,2,
,helene,2,
,star,2,
,g,2,
,prevalence,2,
,call,2,
,movement,2,
,shape,2,
,relative,2,
,hypertension,2,
,income,2,
,struggle,2,
,friend,2,
,question,2,
,continent,2,
,episode,2,
,liter,2,
,wellness,2,
,ii,2,
,information,2,
,shop,2,
,havoc,2,
,knowledge,2,
,faith,2,
,area,2,
,guideline,2,
,environment,2,
,self,2,
,other,2,
,cycle,2,
,condition,2,
,mcdonald,2,
,flesh,2,
,guest,2,
,street,2,
,savai'i,2,
,attitude,2,
,desert,2,
,fact,2,
,restraint,2,
,effect,2,
,congregation,2,
,kfc,1,
,din,1,
,po,1,
,heather,1,
,trend,1,
,undernourishment,1,
,outlet,1,
,ethiopia,1,
,hunger,1,
,marshall,1,
,teenager,1,
,trip,1,
,famine,1,
,malnourishment,1,
,rarotonga,1,
,billy,1,
,malaria,1,
,botswana,1,
,palace,1,
,economist,1,
,mass,1,
,hiv,1,
,index,1,
,illness,1,
,asia,1,
,grandson,1,
,spread,1,
,earning,1,
,check,1,
,scam,1,
,palangi,1,
,lanisi,1,
,tuioti,1,
,tea,1,
,km,1,
,consult,1,
,cliff,1,
,pawpaw,1,
,canteen,1,
,want,1,
,pie,1,
,smallpox,1,
,influenza,1,
,warning,1,
,exchange,1,
,shame,1,
,archive,1,
,shock,1,
,belief,1,
,universe,1,
,artery,1,
,atelier,1,
,chocolate,1,
,bell,1,
,kappa,1,
,grain,1,
,koko,1,
,taxis,1,
,entry,1,
,organisation,1,
,driver,1,
,prohibition,1,
,incidence,1,
,negotiation,1,
,good,1,
,justification,1,
,importation,1,
,security,1,
,dance,1,
,promotion,1,
,handmaiden,1,
,gift,1,
,group,1,
,taxi,1,
,pastor,1,
,paulo,1,
,pelenato,1,
,tactic,1,
,joke,1,
,university,1,
,birth,1,
,bid,1,
,youth,1,
,male,1,
,survey,1,
,sir,1,
,atoll,1,
,legume,1,
,uniqueness,1,
,hindrance,1,
,luxury,1,
,resort,1,
,s,1,
,william,1,
,widmore,1,
,difficulty,1,
,stubbles,1,
,nursery,1,
,discount,1,
,individual,1,
,retailer,1,
,tourism,1,
,lemon,1,
,productivity,1,
,brother,1,
,instructor,1,
,month,1,
,mainland,1,
,landscape,1,
,saudi,1,
,tula,1,
,fano,1,
,poha,1,
,mulatto,1,
,tabitha,1,
,tyler,1,
,sister,1,
,bono,1,
,testimony,1,
,trouble,1,
,heat,1,
,poco,1,
,kumara,1,
,monitor,1,
,sickness,1,
,cd,1,
,grip,1,
,queue,1,
,arabia,1,
,aspect,1,
,branch,1,
,brazil,1,
,financing,1,
,hershey,1,
,pepsi,1,
,starbucks,1,
,nations,1,
,fuckery,1,
,70,1,
,bunch,1,
,president,1,
,neighboring,1,
,sweetener,1,
,google,1,
,beverage,1,
,richard,1,
,yogurt,1,
,ketchup,1,
,steve,1,
,buscemi,1,
,hair,1,
,moment,1,
,prince,1,
,andrew,1,
,pulse,1,
,jeffrey,1,
,pull,1,
,muslims,1,
,evidence,1,
,polanski,1,
,george,1,
,r.,1,
,ketamine,1,
,bullshit,1,
,pony,1,
,ginuwine,1,
,sex,1,
,claim,1,
,ceo,1,
,op,1,
,title,1,
,dumbfuck,1,
,method,1,
,taiwan,1,
,france,1,
,croissant,1,
,communist,1,
,means,1,
,public,1,
,playbook,1,
,harmony,1,
,cdc,1,
,chinese,1,
,right,1,
,fuck,1,
,tibet,1,
,epstein,1,
,nyu,1,
,junior,1,
,injury,1,
,kentucky,1,
,fried,1,
,blast,1,
,roberto,1,
,drug,1,
,cabo,1,
,cheeto,1,
,consumer,1,
,mac,1,
,milk,1,
,return,1,
,worth,1,
,hashtag,1,
,ratchet,1,
,avocadohand,1,
,victim,1,
,condiment,1,
,chipotle,1,
,subway,1,
,isis,1,
,thumb,1,
,tariff,1,
,lion,1,
,congress,1,
,usmca,1,
,white,1,
,pizza,1,
,ease,1,
,nutrient,1,
,pickle,1,
,peace,1,
,prosperity,1,
,barrier,1,
,advantage,1,
,garbage,1,
,scout,1,
,mint,1,
,temperature,1,
,toothpaste,1,
,seafood,1,
,nightclub,1,
,vegas,1,
,pok√©mon,1,
,cherubi,1,
,upskirt,1,
,dwayne,1,
,rock,1,
,johnson,1,
,warming,1,
,leukemia,1,
,fraternity,1,
,cup,1,
,usa,1,
,asmr,1,
,burger,1,
,video,1,
,press,1,
,qatar,1,
,period,1,
,snapper,1,
,smell,1,
,m,1,
,dozen,1,
,spit,1,
,bacon,1,
,odour,1,
,scale,1,
,trigger,1,
,credibility,1,
,genetics,1,
,past,1,
,role,1,
,net,1,
,civil,1,
,forum,1,
,status,1,
,tupou,1,
,guinness,1,
,monarch,1,
,position,1,
,pecking,1,
,attempt,1,
,outsider,1,
,rev,1,
,ma'afu,1,
,demand,1,
,dawn,1,
,focus,1,
,politician,1,
,kuwait,1,
,expression,1,
,papiloa,1,
,bloomfield,1,
,seat,1,
,sitting,1,
,a'lofa,1,
,style,1,
,root,1,
,palm,1,
,century,1,
,offcut,1,
,carcass,1,
,spear,1,
,animal,1,
,sale,1,
,quantity,1,
,europe,1,
,doner,1,
,kebab,1,
,phrase,1,
,sunia,1,
,planning,1,
,officer,1,
,secretariat,1,
,lamb,1,
,parishioner,1,
,authority,1,
,oz,1,
,aamir,1,
,greed,1,
,tonight,1,
,history,1,
,starvation,1,
,bale,1,
,scienece,1,
,capri,1,
,sun,1,
,bag,1,
,i.v,1,
,misinformation,1,
,bollywood,1,
,khan,1,
,lepaola,1,
,long,1,
,duk,1,
,dong,1,
,actor,1,
,harris,1,
,aunt,1,
,jemima,1,
,institute,1,
,fire,1,
,giant,1,
,million,1,
,accident,1,
,spice,1,
,herb,1,
,blockade,1,
,deputy,1,
,executive,1,
,revenue,1,
,custom,1,
,drinking,1,
,healthfood,1,
,portion,1,
,leprechaun,1,
,investigation,1,
,appearance,1,
,cruelty,1,
,image,1,
,chance,1,
,card,1,
,temptation,1,
,date,1,
,takeout,1,
,meaning,1,
,bucket,1,
,border,1,
,tunnel,1,
,success,1,
,colonel,1,
,electricity,1,
,freedom,1,
,noodle,1,
,peer,1,
,source,1,
,comma,1,
,ayumi,1,
,mariah,1,
,funding,1,
,donor,1,
,salary,1,
,pharmaceutical,1,
,utility,1,
,tomah,1,
,parliament,1,
,distress,1,
,gathering,1,
,eva,1,
,cano,1,
,calculation,1,
,dividend,1,
,reconstruction,1,
,riot,1,
,favor,1,
,grant,1,
,arena,1,
,heavy,1,
,fonua,1,
,commentator,1,
,transparency,1,
,international,1,
,assistance,1,
,baccano,1,
,withdrawal,1,
,halloween,1,
,deity,1,
,form,1,
,simone,1,
,david,1,
,cc,1,
,wiring,1,
,band,1,
,lord,1,
,see,1,
,reward,1,
,millennium,1,
,sanitation,1,
,benchmark,1,
,yellow,1,
,meeting,1,
,progress,1,
,programme,1,
,may,1,
,finance,1,
,fool,1,
,priority,1,
,mo,1,
,ie,1,
,bill,1,
,ax,1,
,exodus,1,
,pinch,1,
,solace,1,
,climate,1,
,petrol,1,
,route,1,
,strategy,1,
,minimum,1,
,tyranny,1,
,logistic,1,
,yogi,1,
,anu,1,
,volume,1,
,horizon,1,
,factory,1,
,kilometer,1,
,dog,1,
,belly,1,
,communication,1,
,transport,1,
,outside,1,
,auckland,1,
,sydney,1,
,brisbane,1,
,san,1,
,francisco,1,
,labor,1,
,sending,1,
,sofia,1,
,importer,1,
,soil,1,
,well,1,
,bending,1,
,agency,1,
,abundance,1,
,pezzi,1,
,pen,1,
,pocket,1,
,valve,1,
,gun,1,
,fix,1,
,follow,1,
,region,1,
,subsistence,1,
,la,1,
,jolla,1,
,lady,1,
,uk,1,
,foa,1,
,lassic,1,
,aisle,1,
,isolation,1,
,plot,1,
,ad,1,
,holcomb,1,
,england,1,
,owner,1,
,trevor,1,
,lifespan,1,
,cama,1,
,globalisation,1,
,mays,1,
,cigarette,1,
,lump,1,
,tooth,1,
,boot,1,
,camp,1,
,polley,1,
,co,1,
,update,1,
,start,1,
,matatini,1,
,ma,1,
,axis,1,
,amare,1,
,box,1,
,eyesight,1,
,applause,1,
,civilization,1,
,mismanagement,1,
,maternity,1,
,joe,1,
,edition,1,
,future,1,
,alofa,1,
,mower,1,
,college,1,
,lanie,1,
,wall,1,
,sustainably,1,
,client,1,
,addiction,1,
,frankel,1,
,laurie,1,
,scenario,1,
,section,1,
,honesty,1,
,juice,1,
,lora,1,
,mae,1,
,basis,1,
,morgue,1,
,fagala,1,
,football,1,
,garloo,1,
,wheelchair,1,
,coal,1,
,attack,1,
,sina,1,
,e,1,
,surface,1,
,fraud,1,
,fork,1,
,anniversary,1,
,hoss,1,
,healthcare,1,
,push,1,
,permission,1,
,absence,1,
,text,1,
,tolman,1,
,elin,1,
,stomach,1,
,fear,1,
,ana,1,
,fighting,1,
,old,1,
,bang,1,
,amputee,1,
,sentence,1,
,ramification,1,
,downhill,1,
,spiral,1,
,koala,1,
,trap,1,
,director,1,
,overcrowd,1,
,laughter,1,
,symbolic,1,
,reduction,1,
,calle,1,
,ulcer,1,
,nerve,1,
,peril,1,
,cultural,1,
,freezer,1,
,educator,1,
,chapel,1,
,singing,1,
,female,1,
,swimming,1,
,damage,1,
,paper,1,
,brain,1,
,typhoid,1,
,free,1,
,wesleyan,1,
,conference,1,
,festival,1,
,fatigue,1,
,celebration,1,
,preparation,1,
,overeating,1,
,apnea,1,
,vivoli,1,
,barbecue,1,
,blade,1,
,24/7,1,
,cutlet,1,
,scalpel,1,
,patty,1,
,guarantee,1,
,fascia,1,
,workplace,1,
,tongue,1,
,tax,1,
,legislation,1,
,spiraling,1,
,talk,1,
,luka,1,
,loafer,1,
,contributing,1,
,entity,1,
,backyard,1,
,amenity,1,
,moresby,1,
,forefather,1,
,instruction,1,
,peroneus,1,
,senior,1,
,steak,1,
,judge,1,
,spotlight,1,
,team,1,
,supermodel,1,
,symptom,1,
,collaboration,1,
,bodrum,1,
,cohesion,1,
,teen,1,
,csis,1,
,tool,1,
,gary,1,
,cetera,1,
,shortage,1,
,back,1,
,in,1,
,benning,1,
,diphtheria,1,
,western,1,
,baggie,1,
,art,1,
,lose,1,
,makeup,1,
,academy,1,
,dharia,1,
,know,1,
,sock,1,
,definition,1,
,bennett,1,
,hockey,1,
,up,1,
,urge,1,
,heidi,1,
,june,1,
,8th,1,
,tommy,1,
,tamika,1,
,answer,1,
,warrior,1,
,skill,1,
,skin,1,
,namitha,1,
,superstition,1,
,human,1,
,flood,1,
,foundation,1,
,space,1,
,progression,1,
,dignity,1,
,heed,1,
,injection,1,
,stay,1,
,scrape,1,
,sore,1,
,debridement,1,
,bone,1,
,solofuti,1,
,load,1,
,silly,1,
,law,1,
,wake,1,
,carbohydrate,1,
,digestion,1,
,frankie,1,
,exporter,1,
,bean,1,
,quarter,1,
,antibiotic,1,
,identity,1,
,prolific,1,
,perspective,1,
,liner,1,
,speech,1,
,soul,1,
,masterchef,1,
,context,1,
,traveler,1,
,roller,1,
,sheena,1,
,alipio,1,
,awareness,1,
,milania,1,
,beat,1,
,lalomalava,1,
,gp,1,
,gidlow,1,
,tide,1,
,proportion,1,
,misunderstanding,1,
,tupua,1,
,tamasese,1,
,meaole,1,
,upolu,1,
,blindness,1,
,tsunami,1,
,et,1,
,senate,1,
,eighty,1,
,thea,1,
,celebrity,1,
,television,1,
,shopping,1,
,arm,1,
,vegetation,1,
,inspiration,1,
,rto,1,
,front,1,
,excuse,1,
,populace,1,
,healing,1,
,motivation,1,
,suva,1,
,off,1,
,availability,1,
,none,1,
,disorder,1,
,tokelau,1,
,anemia,1,
,vitamin,1,
,summit,1,
,dream,1,
,oceania,1,
,independence,1,
,boon,1,
,advocate,1,
,round,1,
,capita,1,
,veg,1,
,critic,1,
,allegiance,1,
,living,1,
,crow,1,
,phone,1,
,sand,1,
,difference,1,
,migrant,1,
,microfinance,1,
,aids,1,
,connection,1,
,salette,1,
,transportation,1,
,tomas,1,
,gdp,1,
,latins,1,
,tomer,1,
,commune,1,
,pillar,1,
,strength,1,
,governance,1,
,stability,1,
,willingness,1,
,local,1,
,favourite,1,
,mining,1,
,wealth,1,
,influx,1,
,voice,1,
,b,1,
,batter,1,
,ruin,1,
,insulin,1,
,resistance,1,
,militant,1,
,marilyn,1,
,alec,1,
,reporter,1,
,knot,1,
,laura,1,
,palmer,1,
,cic,1,
,clothe,1,
,row,1,
,sa,1,
,cousin,1,
,will,1,
,medina,1,
,super,1,
,hunter,1,
,gatherer,1,
,mineral,1,
,sundial,1,
,linda,1,
,traffic,1,
,wicket,1,
,seoul,1,
,andrews,1,
,l,1,
,idon't,1,
,mike,1,
,glance,1,
,postcard,1,
,timeframe,1,
,moneyline,1,
,extreme,1,
,bristol,1,
,dislocation,1,
,ruler,1,
,radio,1,
,caravan,1,
,tiny,1,
,invitation,1,
,barry,1,
,police,1,
,force,1,
,kingpin,1,
,diplomat,1,
,betsy,1,
,randy,1,
,firefighting,1,
,make,1,
,guatemalan,1,
